Topic,Sentiment,tweet,tidy_tweet
ant-man,1,@AMCTheatres Saw Ant-Man at AMC Eastchase 9 in Fort Worth.  1st time at the theater.  Great experience for my wife and me!,saw ant man amc eastchase fort worth time theater great experience wife
ant-man,1,"@Abdullahbats Here it's 1:20 PM, I can be around that time but maaaybe I'll be gone since I may watch Ant-man today",here around time maaaybe i'll gone since may watch ant man today
ant-man,1,@Amirosie I finally saw Ant-Man on Tuesday it was so good &amp; entertaining also I enjoyed the Spider-Man reference,finally saw ant man tuesday good amp entertaining also enjoyed spider man reference
ant-man,1,@Braxwolf We're going to see Ant-Man tomorrow. I figured it would seem even better in comparison after watching this. :),we're going see ant man tomorrow figured would seem even better comparison watching
ant-man,1,@CoyJandreau @TheMattKey @SizzlerKistler just watched the show. Great show. Couldn't agree it's about Ant-Man. See ya Thursday,watched show great show could not agree ant man see thursday
ant-man,1,@DANNY_DICKBLOOD Ant-Man was #1 for the 2nd straight week domestically.  Never has this been more apropos.  https://t.co/gQGlU5SLwt,ant man straight week domestically never apropos
ant-man,1,@EvangelineLilly So I'm a bit late but I watched Ant-man. It was amazing and great job! Can't wait for the 2nd one!,i'm bit late watched ant man amazing great job ca not wait one
ant-man,1,"@EveLovelock1 Hi Eve, I hope you enjoyed Ant-Man! Saverday Tuesday is all day &amp; prices can be found here in future: https://t.co/FsOnBVYJyz",eve hope enjoyed ant man saverday tuesday day amp price found future
ant-man,1,"@FB_BMB I went to see Mission Impossible Rouge Nation today, I really enjoyed it. Have u seen it? I might go see Ant-Man tomorrow?",went see mission impossible rouge nation today really enjoyed have seen might see ant man tomorrow
ant-man,1,"@FabrecIass I had high expectactions when I watched because everyone was hyping it so much, I knew Ant-Man would be good after 1st trailer",high expectactions watched everyone hyping much knew ant man would good trailer
ant-man,1,"@HeroesInColor00 you definitely aren't, Ant-Man was my 2nd favorite Phase 2 flick right after Winter Soldier",definitely ant man favorite phase flick right winter soldier
ant-man,1,@ItsNotAStar Took my son to see Ant-Man yesterday and the #ForceAwakens trailer played before. 1st time seeing it on big screen. #AWESOME,took son see ant man yesterday forceawakens trailer played time seeing big screen awesome
ant-man,1,"@Jacksters26 Probably see Ant-Man at the cinema tomorrow. ) I hope you enjoy your tea, I'm certain you will. x",probably see ant man cinema tomorrow hope enjoy tea i'm certain
ant-man,1,"@JayCyde There are a few winks in WINTER SOLDIER and ANT-MAN, various IRON MANs. Largely, though, you may be right.",there wink winter soldier ant man various iron mans largely though may right
ant-man,1,"@NinDorkKnight @SpinelessOyster I am so hyped for tomorrow, the clip at the end of Ant-Man was enough to get me excited",hyped tomorrow clip end ant man enough get excited
ant-man,1,@ReesMarshall1 They are great aren't they - I have one from the Ant-Man wave coming tomorrow as I want to build the Ultron figure.,they great one ant man wave coming tomorrow want build ultron figure
ant-man,1,"@Rivulet027 Yeah, Ant-man fails on Jan and her daughter, but it's still a better movie than FF according to reviewers I trust.",yeah ant man fails jan daughter still better movie according reviewer trust
ant-man,1,"@RottenTomatoes Horrible. Diehard fans may love the hard R, but lots of people will pass. Ant-Man was fun, quirky, enjoyable. Not this.",horrible diehard fan may love hard lot people pas ant man fun quirky enjoyable not
ant-man,1,"@Sartorial_Kai @LordXReshead  Na if they know wa good for them it will be like Ant-man, Mar-Vell would give Carol Danvers the mantle",know good like ant man mar vell would give carol danvers mantle
ant-man,1,"@SlyBibliomaniac yeah, on Friday I went and saw two movies people bitch about - Ant-Man and Minions. I had a good time! #HatersGonnaHate",yeah friday went saw two movie people bitch ant man minions good time hatersgonnahate
ant-man,1,"@ThePaddyMcB Fair enough. Unrelated, think I may go see Ant-Man again tomorrow if you're interested.",fair enough unrelated think may see ant man tomorrow interested
ant-man,1,"@The_Xzav I'm gonna see Ant-man tomorrow, can't wait. (you seeeee, I'm doing theaters lol)",i'm gonna see ant man tomorrow ca not wait seeeee i'm theater lol
ant-man,1,"@TshavhuThibe_ it's horrible, complete fail compared to the 1st movie. Rather watch Ant-man or Entourage.",horrible complete fail compared movie rather watch ant man entourage
ant-man,1,"@VickieSmalley hoping to see Ant-Man tomorrow night at the Everyman in Reigate... Apparently it's been refurbished and is pretty good,",hoping see ant man tomorrow night everyman reigate apparently refurbished pretty good
ant-man,1,@beanbagboy you and me both. Was chatting to @olwenhoff about 4th wall breaking after Ant-Man,was chatting wall breaking ant man
ant-man,1,@jamess__paul Do you want to see Ant-Man on Tues?,want see ant man tues
ant-man,1,@lisak12009 my whole family is going to see Ant-Man on Friday before they leave though,whole family going see ant man friday leave though
ant-man,1,@marvelguy Love Winter Soldier. Incredibly close 3rd cause of its ramifications on the MCU. But I had too much fun with Ant-Man.,love winter soldier incredibly close cause ramification mcu but much fun ant man
ant-man,1,"@mirithejedi I finally saw Ant-Man on Tuesday I really enjoyed it, the movie was so good &amp; entertaining &amp; I enjoyed the Spider-Man reference",finally saw ant man tuesday really enjoyed movie good amp entertaining amp enjoyed spider man reference
ant-man,1,"@nkuchibhotla Then again, this is coming from the girl who just saw Ant-man for the 3rd time",then coming girl saw ant man time
ant-man,1,@pensandblues May still be out there (Avengers).  Am looking forward to Ant-Man and heard it si totally awesome!,may still avengers looking forward ant man heard totally awesome
ant-man,1,"@smoothfuego1 I understand, you enjoy Ant-Man and assure you it will start on time when you return tomorrow",understand enjoy ant man assure start time return tomorrow
ant-man,1,"@tomlennon @iamsteadman @probablydrunk I'm a dumb, the missus booked a sofa at the electric tomorrow for Ant-Man. Fancy it tomorrow?",i'm dumb missus booked sofa electric tomorrow ant man fancy tomorrow
ant-man,1,A special Tuesday night movie with nephew today.  We went to see Ant-Man. It was much better than I had anticipated. A nice old school vibe.,special tuesday night movie nephew today went see ant man much better anticipated nice old school vibe
ant-man,1,ALSO GOOD NEWS  i'm going to go see Ant-Man tomorrow /twerktwerk,also good news i'm going see ant man tomorrow twerktwerk
ant-man,1,ANT-MAN:                   Screening:  Sat &amp; Sun @ 1.00pm Super Tue @ 6.00pm  Armed with the astonishing ability... http://t.co/3IwBMzgK3D,ant man screening sat amp sun super tue armed astonishing ability
ant-man,1,"Also tomorrow on http://t.co/5S3JnGVn9G you'll find my review of Ant-Man. That's right bitches, I actually saw a new film at the cinema!",also tomorrow find review ant man that right bitch actually saw new film cinema
ant-man,1,Ant-Man at AMC Cinema Suites on a Sunday afternoon is a great choice. Good film. Have to see it again cause missed @HayleyAtwell's scene,ant man amc cinema suites sunday afternoon great choice good film have see cause missed scene
ant-man,1,"Ant-Man feels like a rough 1st draft of the Marvel universe (namely Iron Man) which it probably was, considering it's where it all started.",ant man feel like rough draft marvel universe namely iron man probably considering started
ant-man,1,"Ant-Man felt like the 1st IronMan movie 2 me. That's good. It did feel like 2 films grafted onto each other. Not as good, but not bad either",ant man felt like ironman movie that good feel like film grafted onto not good not bad either
ant-man,1,Ant-Man is here through the 30th!! #AntMan #Summer http://t.co/PfEUoXh1EI,ant man antman summer
ant-man,1,"Ant-Man is important. No matter how small his role in Civil War may actually be, he is still there for a reason. Don't downplay him.",ant man important matter small role civil war may actually still reason do not downplay
ant-man,1,Ant-Man is one of the funniest Marvel movies we've watched. Check out our spoiler free review! http://t.co/VPR25xu1LW http://t.co/GSTr1mpWQD,ant man one funniest marvel movie we've watched check spoiler free review
ant-man,1,"Ant-Man may have cliched and formulaic structure, but it's a whole lot of fun.   The final 40 mins is superb.",ant man may cliched formulaic structure whole lot fun the final min superb
ant-man,1,"Ant-Man premieres tomorrow night in Doha. A savior from the atrocity that was ""Pixels.""",ant man premiere tomorrow night doha savior atrocity pixels
ant-man,1,Ant-Man review coming tomorrow hope to see you all their! #Fandomreviews #YouTube,ant man review coming tomorrow hope see fandomreviews youtube
ant-man,1,"Ant-Man starts tonight! PG-13.  Showtimes 7pm each night, 4 &amp; 7 weekends.  Monday matinee, August 17th.,  - Fried... http://t.co/cNOXzR7U9N",ant man start tonight showtimes night amp weekend monday matinee august fried
ant-man,1,Ant-Man starts tonight! Runs Fri-Mon at 8:00pm nightly &amp; is rated PG. See you at the movies :) http://t.co/69Vwqx0AYu,ant man start tonight runs fri mon nightly amp rated see movie
ant-man,1,Ant-Man takes a second week at the top of the box office:   While it may not be setting th... http://t.co/3Nq90CoOwL via @technobuffalo,ant man take second week top box office while may not setting via
ant-man,1,Ant-Man tomorrow hopefully and I kind of want to give Fantastic Four a shot also .,ant man tomorrow hopefully kind want give fantastic four shot also
ant-man,1,"Ant-Man tomorrow. Looking forward to it, but some asshole ruined it for me.",ant man tomorrow looking forward asshole ruined
ant-man,1,"Ant-Man was brilliant. Inside Out was spectacular. What a great year for movies so far. Loved today, just sat in the cinema!",ant man brilliant inside out spectacular what great year movie far loved today sat cinema
ant-man,1,Ant-Man was even better the 2nd time,ant man even better time
ant-man,1,"Ant-Man was high on my list to see, but didn't get the chance until Tues night. It was such a fun movie! Ant-man v Falcon...classic!",ant man high list see get chance tues night fun movie ant man falcon classic
ant-man,1,"Ant-Man was ok. Loved the action, first hour dull, 2nd hour great, villain was actually a good villain.",ant man loved action first hour dull hour great villain actually good villain
ant-man,1,Ant-Man was ok. Nothing amazing but Marvel evil for having me sit through the longest credits to see the 2nd end credit scene.,ant man nothing amazing marvel evil sit longest credit see end credit scene
ant-man,1,"Ant-Man, Edge Of Tomorrow, Inside Out, Inglourious Basterds and Obvious Child (my favourite of the week) #myweekinmovies",ant man edge tomorrow inside out inglourious basterds obvious child favourite week myweekinmovies
ant-man,1,"Ant-man is getting good reviews, might have to go watch it sunday night",ant man getting good review might watch sunday night
ant-man,1,"Ant-man tops North American box office: Marvel action flick ""Ant-Man"" stayed atop the US box office Sunday, ... http://t.co/M5wQtM9aEl",ant man top north american box office marvel action flick ant man stayed atop box office sunday
ant-man,1,"Ant-man was good tho. And props to the guy who mention about the 2nd extra scene at the end of the movie, you da real mvp.",ant man good tho and prop guy mention extra scene end movie real mvp
ant-man,1,Anybody want to see Ant-man tomorrow?,anybody want see ant man tomorrow
ant-man,1,"Anyway, I'm going to the theaters tomorrow to watch Ant-man! I'm really excited. ;o;)b",anyway i'm going theater tomorrow watch ant man i'm really excited
ant-man,1,Back from Ant-Man for the 2nd time! Love that film.,back ant man time love film
ant-man,1,"Back to work tomorrow so off to the cinema to finally watch Ant-Man with Jackson. Heard good things, plus it's Marvel... It's gonna be mega!",back work tomorrow cinema finally watch ant man jackson heard good thing plus marvel it gonna mega
ant-man,1,"Been a little busy lately, just now getting to see Ant-Man. Oh and I'm a child! @ West 21st St. Warren https://t.co/lhg2x3c3PX",been little busy lately getting see ant man i'm child west warren
ant-man,1,"Been an ant based week, first seeing ANT-man at the cinema. Now visiting ANTwerp. Maybe I'll finish with meeting ANT &amp; Dec? #Hopeful",been ant based week first seeing ant man cinema now visiting antwerp maybe i'll finish meeting ant amp dec hopeful
ant-man,1,Best part of Ant-Man is how Hank Pym's treasured photo of his wife covers up her actual face with a large sun hat.,best part ant man hank pym treasured photo wife cover actual face large sun hat
ant-man,1,Box Office: Ant-Man avoids a Trainwreck with $22.6 million Friday for no. 1 ... - HitFix http://t.co/2yjxC6MMtJ,box office ant man avoids trainwreck million friday hitfix
ant-man,1,"BreakingNews: 'Ant-Man' wins box office for 2nd weekend with $24.8 million haul, edging out 'Pixels' - USATODAY http://t.co/axW0yvlYqq",breakingnews 'ant man' win box office weekend million haul edging 'pixels' usatoday
ant-man,1,"Cannot wait to see Ant-Man and Southpaw with @neckcellent tomorrow! I need this downtime, badly!",cannot wait see ant man southpaw tomorrow need downtime badly
ant-man,1,Catching up on films tomorrow with 2nd watch of Ant-Man in 3D. Then 1st watch of Maggie and Southpaw.#Southpaw #Films http://t.co/piIvrCj6th,catching film tomorrow watch ant man then watch maggie southpaw southpaw films
ant-man,1,"Catching up on movies before they leave theaters.  Trainwreck was as good as everyone says it is.  Tomorrow, Ant-Man.",catching movie leave theater trainwreck good everyone say tomorrow ant man
ant-man,1,Congrats to Disney for managing to keep ANT-MAN as the #1 movie for a 2nd weekend with a paltry $24.7 million take.  #BoxOffice,congrats disney managing keep ant man movie weekend paltry million take boxoffice
ant-man,1,Continuing to bond with the offspring via Marvel movies with another Superhero Saturday thanks to a very funny Ant-Man. #fb,continuing bond offspring via marvel movie another superhero saturday thanks funny ant man
ant-man,1,"Don't forget all films before 5pm are just a fiver for all!  Valid Mon - Fri only. Book now and enjoy Ant-Man,... http://t.co/gIj6jeuho1",do not forget film fiver valid mon fri book enjoy ant man
ant-man,1,Dragon Ball Z tomorrow but I don't know if I want to wake up early to see it at 12 ... When I can see F4ntastic or Ant-Man at a later time,dragon ball tomorrow know want wake early see when see ntastic ant man later time
ant-man,1,"Ends this Thursday. Have you seen Marvel's ""Ant-Man"" yet? http://t.co/cqp60hmeMb",ends thursday have seen marvel ant man yet
ant-man,1,Episode 39: Ant-Man the Comics is out now to hold you over until Episode 40 arrives on Wednesday! http://t.co/U1kWkznYip,episode ant man comics hold episode arrives wednesday
ant-man,1,"FYI, the inspiration 4 Ant-Man has been turned into a miniseries by @IDWPublishing and it's out tomorrow, #TheShrinkingMan, #themoreyouknow",fyi inspiration ant man turned miniseries tomorrow theshrinkingman themoreyouknow
ant-man,1,Fantastic Four tomorrow will it be as good as Ant-Man we'll have to see,fantastic four tomorrow good ant man we'll see
ant-man,1,Final shows for Pixels &amp; Ant-Man are Thursday! Opening Wednesday: Shaun the Sheep &amp; Thursday: Fantastic Four!,final show pixels amp ant man thursday opening wednesday shaun sheep amp thursday fantastic four
ant-man,1,"Finally going to see ANT-MAN tonight, then off to see ROGUE NATION either tomorrow or Sunday. Looking forward to both.",finally going see ant man tonight see rogue nation either tomorrow sunday looking forward
ant-man,1,Finally going to watch Ant-Man tomorrow @Marvel its still getting good ratings #Excited,finally going watch ant man tomorrow still getting good rating excited
ant-man,1,Finally got around to see Ant-Man and absolutely loved it. Nice way to cap off an eventful Saturday.,finally got around see ant man absolutely loved nice way cap eventful saturday
ant-man,1,"Get paid on Friday and all I can think about wanting to do is go to the cinema to watch Ant-Man, too many good looking films coming out",get paid friday think wanting cinema watch ant man many good looking film coming
ant-man,1,Going to #FantasticFour tomorrow. Half expecting the box office girl to give me a sad look and say I can see Ant-Man a second time instead.,going fantasticfour tomorrow half expecting box office girl give sad look say see ant man second time instead
ant-man,1,Going to go see Ant-Man on Monday morning. I have the best life.,going see ant man monday morning best life
